id,nombre,apellido,rol,token,password,pagado,puesto_trabajo,nombre_empresa,email,telefono,pais,interes,alergenos,linkedIn,image_path,cluster,createdAt,updatedAt
15,Maria,Miller,user,afeb9a85-9dbd-4da9-a82f-14a856f0bc13,^sIgt%d56S,1,Consultor de e-Learning,Tech Corp,wsteele@example.com,256.606.1794,España,"[""Finanzas"", ""Educacion""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
16,Mark,Giles,user,d34755c1-96fb-4c75-aa43-4be5147d2b9d,6ioAnb+R#h,1,Consultor de e-Learning,Creative Inc,anthony44@example.com,706.835.9184,Germany,"[""Tecnologia"", ""Salud""]","[""Peanuts"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
17,Jamie,Fox,speaker,37fa460f-6b16-40a7-98bf-1abb18876360,)_2CupgXn*,1,Coordinador de Programas de e-Learning,Creative Inc,jesseturner@example.net,(237)346-1509x5716,UK,"[""Finanzas"", ""Salud""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
18,Elizabeth,Booth,partner,e7149005-c97a-45b4-aa47-850fc8027b76,*2v!Ve%DD@,0,Tutor o Facilitador de e-Learning,Dev Solutions,mason11@example.com,434-957-1152,Germany,"[""Salud"", ""Educacion""]","[""Peanuts"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
19,Vanessa,Ponce,partner,d1f56d19-a731-4a3f-873e-e95a49d52e4c,r&91gAgvr@,1,Consultor de e-Learning,Innovate Ltd,robin23@example.net,574-236-2417x39545,Canada,"[""Educacion"", ""Tecnologia""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
20,Tracy,Myers,partner,46fd478a-5644-4f9d-86d1-841212b6e842,wIr9Li9IY@,1,Productor de Multimedia Educativa,Dev Solutions,lisacole@example.org,310-806-1530x28654,France,"[""Tecnologia"", ""Salud""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
21,Abigail,Lynn,speaker,9d1c9220-b4ed-4545-a698-3a9ea57535f9,iC0@A&kp)+,1,Diseñador Gráfico para e-Learning,Dev Solutions,lindseyyoung@example.com,001-410-451-2341,Germany,"[""Salud"", ""Finanzas""]","[""Peanuts"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
22,Rachael,Walker,speaker,652aad95-20ca-4314-a63d-4b5372ef8d20,S#W1JZTsNW,0,Tutor o Facilitador de e-Learning,Innovate Ltd,kimberly20@example.net,312-435-9178,Canada,"[""Salud"", ""Finanzas""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
23,Justin,Hill,partner,ce3503da-98d2-416e-90b1-88b246965f4d,%M8Cz!k!G+,0,Coordinador de Programas de e-Learning,Creative Inc,taylor60@example.com,496-341-0948x4613,USA,"[""Salud"", ""Finanzas""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
24,John,Wilson,user,fbee3019-209c-43d7-9601-3154d8db4c9b,X&sL@RyP+9,1,Diseñador Instruccional,Dev Solutions,fhansen@example.com,+1-292-391-8576x004,Canada,"[""Finanzas"", ""Salud""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
25,Stephen,Rhodes,speaker,6bb288d4-a9c4-46a5-8e1c-23b3337bb9c0,w478FjLq*+,1,Coordinador de Programas de e-Learning,Creative Inc,brockdebra@example.org,(511)408-1467x61559,UK,"[""Tecnologia"", ""Finanzas""]","[""Nada"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
26,Michael,Barnes,user,894cae58-581d-4ea4-a905-765fe86d44ec,$EI@iXTMn5,0,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,kevinwall@example.com,5949049036,Germany,"[""Tecnologia"", ""Salud""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
27,Connie,Quinn,user,b71b0441-e89e-4166-bdcf-6f02abc1ad4f,WS2H&fsc+),1,Diseñador Instruccional,Dev Solutions,christopher75@example.net,001-346-607-4708x6221,USA,"[""Tecnologia"", ""Finanzas""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
28,Justin,Kelly,user,3bc34313-614d-4c8e-87b0-562e7f8cfd54,5l0A!s!fO$,0,Analista de Datos Educativos,Innovate Ltd,jonescarl@example.com,2377017442,España,"[""Finanzas"", ""Tecnologia""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
29,Wendy,Smith,speaker,9acc4e2b-bbc8-40d3-869e-47b331256a35,)O!30Ku9fG,1,Tutor o Facilitador de e-Learning,Dev Solutions,dianaaguirre@example.com,678-858-8345,UK,"[""Finanzas"", ""Salud""]","[""Nada"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
30,Spencer,Snow,user,5bb6f498-43fd-43cd-874b-772e0b446672,3WSrtSj)*t,1,Productor de Multimedia Educativa,Creative Inc,christophersantiago@example.com,001-284-756-0342x5976,Canada,"[""Tecnologia"", ""Educacion""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
31,Cynthia,Adams,speaker,85e50326-897c-4789-857a-bd3940ebce25,%1+mRyuR6Y,0,Productor de Multimedia Educativa,Tech Corp,timothymiller@example.net,001-608-955-6662,France,"[""Finanzas"", ""Tecnologia""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
32,Larry,Wood,partner,a8700cc4-16ff-41cc-87d6-727f45641ae8,K%4+3_UuYl,1,Coordinador de Programas de e-Learning,Dev Solutions,pandrews@example.net,(967)732-4497x252,Canada,"[""Finanzas"", ""Educacion""]","[""Nada"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
33,Michael,Dickerson,speaker,58c6d9bf-7121-426a-8c12-7abf455e6cfb,_Sh8GZwm%K,1,Productor de Multimedia Educativa,Innovate Ltd,wglenn@example.net,(389)250-6492,France,"[""Educacion"", ""Finanzas""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
34,Judith,Campos,user,942288a2-334a-4b2c-9586-26dbd2a4bc5b,)M7mQ(Vr8),0,Especialista en LMS (Learning Management Systems),Innovate Ltd,keithmyers@example.net,890.240.9385x51763,España,"[""Finanzas"", ""Educacion""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
35,Jennifer,White,speaker,559668a1-d4c2-4a4f-bc1d-b6285f5469d7,ZpL78XfLB@,0,Especialista en LMS (Learning Management Systems),Creative Inc,josegarcia@example.com,001-324-793-5959x20901,Canada,"[""Educacion"", ""Finanzas""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
36,Roberta,Brown,speaker,09289239-5ac9-402c-8da7-1e89cba5b60c,A7R2pZKh(8,0,Diseñador Gráfico para e-Learning,Dev Solutions,josephanderson@example.com,+1-933-216-2920,Canada,"[""Tecnologia"", ""Educacion""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
37,Samuel,Bryant,partner,687b2581-4a42-450f-8444-dc86e3fe8433,fG1N7+e6!B,1,Productor de Multimedia Educativa,Creative Inc,lucaswendy@example.com,601.670.9635,USA,"[""Tecnologia"", ""Educacion""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
38,Andrea,Rodriguez,speaker,1f301774-30bf-4d1a-a2b8-c857eadc0211,+6b@Fcf^yl,0,Coordinador de Programas de e-Learning,Innovate Ltd,jamesmccarty@example.net,001-800-336-5977x1823,France,"[""Educacion"", ""Tecnologia""]","[""Lactose"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
39,Sarah,Robertson,speaker,7c4b2280-092e-4a82-82a4-d9073980e599,K@1SwSdIh%,0,Coordinador de Programas de e-Learning,Dev Solutions,jonesbenjamin@example.net,806.859.5325x57873,España,"[""Finanzas"", ""Salud""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
40,Stanley,Gonzalez,speaker,c93888c6-444d-4849-b9f0-61b98b9acb45,_0Z@dl$#$U,1,Diseñador Instruccional,Dev Solutions,sellerslisa@example.com,216.564.2341x4320,España,"[""Tecnologia"", ""Salud""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
41,Cassandra,Davis,partner,222a9ffa-5bca-4641-894b-1b712e5e6b2c,h!h7EPvwvE,0,Analista de Datos Educativos,Dev Solutions,natasha48@example.net,(621)676-6581,UK,"[""Educacion"", ""Tecnologia""]","[""Lactose"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
42,Tanya,Crawford,speaker,3a1ac16b-c351-4d09-82ec-766d0edf8598,k8bSeYC7+x,1,Coordinador de Programas de e-Learning,Creative Inc,jill13@example.org,(967)697-9848x918,France,"[""Salud"", ""Educacion""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
43,Charles,Brown,partner,7fd637d0-6f4b-48ed-a1ed-a1498860afc1,B7Jzcghd%),0,Coordinador de Programas de e-Learning,Dev Solutions,crawfordjames@example.com,626.259.9541x231,France,"[""Finanzas"", ""Educacion""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
44,April,Matthews,user,cb43b1eb-5b90-4ee2-ba1d-889dcaf6629c,$lKFwg!4U1,0,Tutor o Facilitador de e-Learning,Innovate Ltd,watsonbrian@example.org,913-583-6132x387,USA,"[""Educacion"", ""Salud""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
45,James,Becker,speaker,959f9863-2877-4417-a824-a57bebe3f488,V1jUx%OM_@,1,Tutor o Facilitador de e-Learning,Innovate Ltd,john45@example.com,+1-413-617-0370x07262,UK,"[""Educacion"", ""Tecnologia""]","[""Lactose"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
46,Emily,Griffin,speaker,6f7998d3-ec9e-46d3-8a00-151f16ca4df4,q6U79ql0!9,0,Tutor o Facilitador de e-Learning,Innovate Ltd,hannah67@example.com,977.428.5117x0673,Canada,"[""Finanzas"", ""Educacion""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
47,Jason,Park,speaker,5e92c352-e72e-4866-909d-ac9feefb9e9e,(F0GyOl*9w,1,Consultor de e-Learning,Tech Corp,dianetaylor@example.net,560.651.5053,España,"[""Salud"", ""Finanzas""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
48,Kyle,Fischer,speaker,15d8ed1d-80f0-44a5-99d3-a2f2a7abac6f,EaJiNhm)$6,0,Diseñador Instruccional,Innovate Ltd,adkinssamantha@example.com,2569848869,UK,"[""Educacion"", ""Finanzas""]","[""Nada"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
49,Darrell,Robles,user,7e3210bc-9f35-416a-80ac-8339d3367547,HGTsoIgw&4,0,Productor de Multimedia Educativa,Innovate Ltd,jimmybennett@example.org,7155852387,UK,"[""Salud"", ""Tecnologia""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
50,Justin,Jacobs,partner,79c08a63-a8f5-402f-80a3-1926fbd58068,d8UYO$Xp#a,1,Diseñador Gráfico para e-Learning,Innovate Ltd,ddalton@example.com,(676)810-1756,Canada,"[""Finanzas"", ""Salud""]","[""Nada"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
51,Karen,Anderson,speaker,3774f678-f941-4a59-ab42-a44a84f1366f,RH)4HmxG2X,0,Especialista en Evaluación y Certificación en Línea,Dev Solutions,martin69@example.org,910-679-9478x9796,España,"[""Finanzas"", ""Salud""]","[""Lactose"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
52,Emily,Swanson,partner,830226ab-3f3c-4acc-8262-6fe453b8e57b,D^0SIUFc_K,0,Diseñador Instruccional,Tech Corp,brandonbradford@example.net,260.211.0122x32452,Canada,"[""Tecnologia"", ""Salud""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
53,Megan,Fisher,user,edadd951-bbbc-4f01-89b2-fcfaf5197ae2,&2VRc1VW8S,0,Coordinador de Programas de e-Learning,Innovate Ltd,larryross@example.net,6402648331,Canada,"[""Finanzas"", ""Educacion""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
54,Nathaniel,Bass,speaker,f8734d60-9322-4f20-b8d4-44168485a1ba,Jom3gREx$k,0,Desarrollador de Contenidos de e-Learning,Innovate Ltd,robertboyd@example.com,235.994.6645,Canada,"[""Educacion"", ""Finanzas""]","[""Peanuts"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
55,Theresa,Hodge,speaker,5ea4d3f2-cdd8-496f-a017-29b7028e6a25,!1fZwEK!E3,1,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,cphillips@example.com,+1-434-493-0468x617,Germany,"[""Tecnologia"", ""Salud""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
56,Joseph,Reed,speaker,7387305f-da3c-4e0d-b1cf-cd87a0665a46,3u7A2uJ4_s,0,Especialista en LMS (Learning Management Systems),Creative Inc,cindybarnett@example.org,809.659.1507x9921,UK,"[""Salud"", ""Tecnologia""]","[""Peanuts"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
57,Brian,Watson,speaker,c0c876b9-0dc9-4b54-a080-a2eadc4c79fd,!e(eP(zW31,1,Diseñador Instruccional,Dev Solutions,mitchellbrooks@example.org,(775)437-2417x275,USA,"[""Tecnologia"", ""Salud""]","[""Gluten"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
58,Cindy,Mcclain,partner,fbaed7a1-c980-4d67-94bd-dbd68ca8101d,vEIV6IFp@8,1,Consultor de e-Learning,Innovate Ltd,michelesmith@example.org,+1-618-829-1308x129,Germany,"[""Salud"", ""Finanzas""]","[""Lactose"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
59,Laura,Morrison,speaker,63e30cde-ef87-4a08-8e97-c8590d2050ed,h4dOigKP_R,1,Diseñador Instruccional,Tech Corp,slopez@example.net,(713)534-5487x50381,USA,"[""Educacion"", ""Finanzas""]","[""Lactose"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
60,Sean,Lee,speaker,72fe7da5-6c29-4306-bef1-e0bbbb5483de,L5QchFAu&o,1,Productor de Multimedia Educativa,Creative Inc,zdominguez@example.net,7263108254,France,"[""Tecnologia"", ""Salud""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
61,William,Sanders,partner,595d231b-645f-4a43-b01e-2e3eb4283675,32KDOjut(v,0,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,april84@example.com,001-950-942-7338x443,España,"[""Educacion"", ""Finanzas""]","[""Peanuts"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
62,Timothy,Sherman,user,16bb13b2-32e5-4254-a93e-2e3792a4ae4a,M5(2kBvY!P,1,Diseñador Gráfico para e-Learning,Tech Corp,zorozco@example.net,226.484.0966,Germany,"[""Salud"", ""Finanzas""]","[""Nada"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
63,Christopher,Brown,user,c993a7d3-066a-4354-8959-5ada279db54e,X&0#ODbdPe,0,Especialista en LMS (Learning Management Systems),Dev Solutions,yhughes@example.org,(343)471-0683x3078,Canada,"[""Salud"", ""Educacion""]","[""Nada"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
64,Alexander,Smith,partner,a420a749-29f7-4dda-9d7f-ef55178a22bb,!N8LJtu+@W,0,Diseñador Instruccional,Dev Solutions,nclark@example.com,+1-402-263-6672x67606,Canada,"[""Educacion"", ""Salud""]","[""Gluten"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
65,Kathryn,Gray,partner,252004d9-0333-4217-9c97-0c9f05277c84,KT!7IfHJWZ,0,Desarrollador de Contenidos de e-Learning,Innovate Ltd,bsmith@example.com,+1-813-744-9685x8213,Canada,"[""Finanzas"", ""Educacion""]","[""Nada"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
66,Linda,Thompson,user,90b18c6a-e378-4604-83be-2a2f262a8c98,eaQ3U$Oa^l,1,Desarrollador de Contenidos de e-Learning,Creative Inc,monicagreen@example.net,293.629.7591x752,USA,"[""Finanzas"", ""Educacion""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
67,Ashley,Baker,user,65ea1dca-6b79-4fdf-8885-3ce87c06492d,$1LCNeSH3g,0,Productor de Multimedia Educativa,Innovate Ltd,benjaminward@example.org,001-408-850-1604,USA,"[""Salud"", ""Finanzas""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
68,Vanessa,Yates,partner,82d9f384-47de-4f7b-96b0-8fbf9c5741c5,$1QnWBamBO,0,Productor de Multimedia Educativa,Tech Corp,mary33@example.com,782.984.2893,Canada,"[""Tecnologia"", ""Finanzas""]","[""Nada"", ""Lactose""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
69,Raymond,Elliott,partner,791cb12d-a862-4025-a2f6-200dbc9d4dad,!m7PCdlN*@,0,Productor de Multimedia Educativa,Innovate Ltd,idoyle@example.com,363-852-2406x2681,France,"[""Educacion"", ""Salud""]","[""Peanuts"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
70,Hailey,Wolf,user,e4205506-4151-4693-a355-b3a42be5f865,%ppGWAUvA9,0,Especialista en LMS (Learning Management Systems),Tech Corp,rebeccahanson@example.org,301.603.5044,France,"[""Educacion"", ""Finanzas""]","[""Nada"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
71,Patrick,Larson,partner,cd01f2e3-231b-4644-a732-14605544e860,yIdc9Tr5#&,0,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,smithbrenda@example.com,6709952608,UK,"[""Tecnologia"", ""Salud""]","[""Gluten"", ""Nada""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
72,Jessica,Rose,speaker,a9feb9d3-446e-4b0d-a9cc-d2588a23cbb3,i_1KFdz1w),0,Consultor de e-Learning,Creative Inc,amanda60@example.org,+1-979-771-7125x4424,France,"[""Salud"", ""Educacion""]","[""Peanuts"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
73,Tammy,Booth,speaker,d9fbef35-272a-4315-b389-d343f7d9df02,a3_2DtqM^2,0,Diseñador Gráfico para e-Learning,Tech Corp,robertgeorge@example.net,307-788-6152x898,France,"[""Tecnologia"", ""Educacion""]","[""Nada"", ""Peanuts""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
74,Joy,Petersen,partner,9a5c378b-a164-4c93-a6b2-41903b8abb36,6%+8WHwlSh,0,Especialista en Evaluación y Certificación en Línea,Innovate Ltd,erica63@example.com,522.397.4899x95346,Canada,"[""Finanzas"", ""Educacion""]","[""Peanuts"", ""Gluten""]",http://linkedin.com/in/ficticio,nada,9.0,2024-07-03 10:20:20,2024-07-03 10:20:20
